iter	Passed	Remaining
687	19668	66096
688	19698	66071
689	19722	66027
690	19748	65991
691	19774	65953
692	19802	65922
693	19829	65888
694	19855	65850
695	19880	65812
696	19906	65773
697	19931	65734
698	19956	65694
699	19983	65658
700	20010	65627
701	20036	65590
702	20061	65549
703	20086	65510
704	20113	65475
705	20138	65435
706	20165	65403
707	20192	65368
708	20239	65398
709	20264	65361
710	20290	65323
711	20317	65289
712	20341	65247
713	20366	65207
714	20391	65168
715	20420	65140
716	20445	65100
717	20470	65062
718	20496	65025
719	20523	64991
720	20548	64951
721	20572	64910
722	20598	64871
723	20623	64833
724	20649	64795
725	20674	64756
726	20700	64720
727	20725	64682
728	20752	64648
729	20777	64610
730	20803	64574
731	20829	64537
732	20855	64501
733	20880	64460
734	20904	64420
735	20934	64395
736	20960	64359
737	20985	64321
738	21012	64287
739	21037	64250
740	21064	64216
741	21088	64174
742	21115	64142
743	21143	64113
744	21169	64077
745	21196	64043
746	21220	64003
747	21249	63975
748	21274	63937
749	21299	63897
750	21324	63860
751	21344	63806
752	21371	63773
753	21398	63741
754	21423	63702
755	21449	63667
756	21474	63629
757	21499	63590
758	21526	63557
759	21570	63575
760	21600	63552
761	21629	63527
762	21657	63495
763	21682	63456
764	21707	63420
765	21736	63392
766	21764	63362
767	21791	63331
768	21819	63301
769	21845	63266
770	21871	63231
771	21897	63197
772	21924	63164
773	21953	63137
774	21978	63100
775	22005	63065
776	22030	63028
777	22057	62997
778	22083	62962
779	22108	62925
780	22134	62890
781	22164	62865
782	22189	62827
783	22214	62789
784	22239	62752
785	22266	62720
786	22291	62682
787	22318	62651
788	22344	62616
789	22370	62580
790	22395	62543
791	22421	62509
792	22447	62473
793	22473	62439
794	22504	62418
795	22530	62384
796	22557	62352
797	22585	62321
798	22655	62409
799	22693	62405
800	22718	62370
801	22744	62333
802	22771	62302
803	22799	62273
804	22826	62240
805	22852	62205
806	22879	62175
807	22905	62140
808	22931	62104
809	22957	62068
810	22984	62037
811	23012	62010
812	23037	61970
813	23062	61935
814	23087	61896
815	23114	61864
816	23139	61828
817	23166	61796
818	23192	61762
819	23219	61729
820	23245	61694
821	23272	61662
822	23299	61632
823	23324	61594
824	23350	61559
825	23375	61524
826	23401	61488
827	23428	61457
828	23454	61423
829	23480	61388
830	23506	61353
831	23530	61315
832	23556	61279
833	23581	61244
834	23609	61213
835	23636	61182
836	23665	61156
837	23691	61122
838	23715	61084
839	23742	61052
840	23770	61023
841	23795	60985
842	23820	60949
843	23846	60916
844	23872	60880
845	23898	60848
846	23924	60813
847	23950	60780
848	23976	60746
849	24003	60714
850	24030	60683
851	24056	60650
852	24082	60615
853	24107	60578
854	24131	60541
855	24160	60514
856	24188	60485
857	24212	60447
858	24249	60440
859	24276	60408
860	24302	60375
861	24329	60343
862	24356	60313
863	24383	60281
864	24410	60251
865	24439	60222
866	24466	60193
867	24492	60159
868	24510	60106
869	24535	60070
870	24563	60040
871	24588	60005
872	24613	59970
873	24640	59938
874	24668	59908
875	24695	59877
876	24722	59846
877	24747	59810
878	24776	59783
879	24804	59755
880	24829	59719
881	24855	59687
882	24880	59651
883	24907	59620
884	24934	59588
885	24960	59556
886	24988	59526
887	25015	59496
888	25040	59461
889	25066	59428
890	25092	59394
891	25118	59359
892	25142	59323
893	25170	59294
894	25195	59259
895	25223	59229
896	25249	59198
897	25279	59173
898	25305	59138
899	25330	59103
900	25354	59067
901	25379	59032
902	25405	58998
903	25430	58963
904	25455	58926
905	25480	58890
906	25505	58856
907	25532	58825
908	25583	58851
909	25617	58835
910	25642	58799
911	25671	58773
912	25699	58746
913	25724	58710
914	25749	58675
915	25775	58641
916	25800	58606
917	25824	58569
918	25851	58539
919	25877	58506
920	25904	58474
921	25928	58437
922	25955	58406
923	25981	58373
924	26007	58340
925	26033	58307
926	26057	58271
927	26084	58240
928	26112	58211
929	26137	58176
930	26163	58145
931	26190	58114
932	26218	58085
933	26245	58055
934	26273	58025
935	26300	57996
936	26325	57961
937	26351	57928
938	26376	57894
